taxa	0001.003.1	0001.003.2	0001.003.3	0001.003.4	0001.003.5	0001.003.6	0008.007.3	0008.007.4	0008.007.5	0008.007.6	0018.017.3	0018.017.4	0018.017.5	0018.017.6	0021.023.5	0021.023.6	0021.023.7	0029.043.2	0029.043.3	0029.043.4	0032.033.1	0032.033.2	0032.033.4	0032.033.5	0032.033.6	0036.028.3	0036.028.4	0036.028.5	0036.028.6	0041.030.3	0041.030.4	0044.034.1	0044.034.2	0044.034.3	0044.034.4	0044.034.5	0047.038.3	0047.038.4	0047.038.5	0051.064.5	0051.064.6	0055.051.1	0055.051.2	0055.051.3	0055.051.4	0055.051.5	0055.051.6	0055.051.7	0058.068.1	0058.068.2	0058.068.3	0058.068.4	0061.057.2	0061.057.3	0061.057.4	0067.062.1	0067.062.2	0067.062.3	0067.062.4	0067.062.5	0067.062.6	0068.050.1	0068.050.2	0068.050.3	0068.050.4	0068.050.5	0068.050.6	0079.069.1	0079.069.2	0079.069.3	0079.069.4	0079.069.5	0079.069.6	0079.069.7	0085.075.1	0085.075.2	0085.075.3	0085.075.4	0085.075.5	0085.075.6	0090.080.1	0090.080.2	0090.080.3	0090.080.4	0090.080.5	0090.080.6	0090.080.7	0094.086.1	0094.086.2	0094.086.3	0094.086.5	0094.086.6	0094.086.7	0094.086.8	0095.084.2	0095.084.3	0098.098.1	0098.098.2	0098.098.3	0098.098.4	0100.083.1	0100.083.2	0100.083.3	0100.083.4	0101.088.1	0101.088.2	0101.088.3	0101.088.4	0101.088.5	0101.088.6	0106.082.2	0106.082.3	0121.101.1	0121.101.2	0121.101.3	0123.103.4	0123.103.5	0135.111.2	0135.111.3	0135.111.4	0135.111.5	0135.111.6	0136.112.1	0136.112.2	0136.112.3	0136.112.4	0136.112.5	0136.112.6	0138.113.1	0138.113.2	0138.113.4	0138.113.5	0139.114.1	0139.114.2	0139.114.3	0154.119.2	0154.119.3	0154.119.4	0158.129.1	0158.129.2	0158.129.3	0158.129.4	0158.129.5	0158.129.6	0180.142.1	0180.142.2	0180.142.5	0180.142.6	0180.142.7	0180.142.8	0203.151.1	0203.151.2	0203.151.3	0203.151.4	0218.162.1	0218.162.2	0218.162.3	0218.162.4	0218.162.5	0229.171.1	0229.171.2	0262.198.1	0262.198.2	0275.201.2	0275.201.3	0275.201.4	0275.201.5	0275.201.6	0275.201.7	0275.201.8	0282.202.1	0282.202.2	0303.208.1	0303.208.2	0387.272.1	0387.272.2	0387.272.3	0397.268.1	0397.268.2	0411.296.1	0411.296.2	0411.296.3	0411.296.4	0411.296.5	0411.296.6	0421.295.1	0421.295.2	0421.295.3	0421.295.4	0422.293.1	0422.293.2	0424.282.1	0424.282.2	0424.282.3	0424.282.4	0424.282.5	0424.282.6	0430.289.1	0430.289.2	0430.289.3	0430.289.4	0430.289.5	0434.290.1	0434.290.2	0434.290.3	0434.290.4	0434.290.5	0444.312.1	0444.312.2	0445.323.1	0445.323.2	0445.323.3	0445.323.4	0445.323.5	0446.315.1	0446.315.2	0446.315.3	0446.315.4	0446.315.5	0455.313.1	0455.313.2	0455.313.3	0455.313.4	0455.313.5	0476.335.1	0476.335.2	0476.335.3	0476.335.4	0476.335.5	0484.349.1	0484.349.2	0484.349.3	0484.349.4	0484.349.5	0590.427.3	0590.427.4	0650.470.1	0650.470.2	0650.470.3	0650.470.4	0662.479.2	0662.479.3	0671.486.1	0671.486.2	0671.486.3	0671.486.4	0675.493.1	0675.493.2	0691.499.1	0691.499.2	0691.499.3	0695.498.1	0695.498.2	0707.511.1	0707.511.2	0708.515.1	0708.515.2	0708.515.3	0723.529.1	0723.529.2	0723.529.3	0725.527.1	0725.527.2	0730.536.1	0730.536.2	0730.536.3	0755.549.1	0755.549.2	0760.569.1	0760.569.2	0760.569.3	0775.568.1	0775.568.2	0775.568.3	0788.597.1	0788.597.2	0788.597.3	0825.610.1	0825.610.2	0825.610.3	0825.610.4	0847.616.1	0847.616.2	0847.616.3	0847.616.4	0858.627.1	0858.627.2	0869.631.1	0869.631.2	0880.641.1	0880.641.2	0880.641.3	0959.704.1	0959.704.2	1031.761.1	1031.761.2	1169.852.1	1169.852.2	1184.867.1	1184.867.2	1192.879.1	1192.879.2	1317.970.1	1317.970.2	1416.1052.2	1416.1052.3	1443.1076.2	1443.1076.3	1485.1102.1	1485.1102.2	1510.1125.1	1510.1125.2	1511.1126.1	1511.1126.2	1513.1128.1	1513.1128.2
Actinomycetaceae Mobiluncus mulieris	0	0	0	0	0	0	0	0	0	0	2	2	270	0	1774	121	7	234	221	0	0	0	0	0	0	76	142	624	169	0	0	0	0	0	0	392	0	0	0	122	506	0	0	0	0	0	0	0	0	0	0	0	114	12	339	0	0	0	0	0	1	0	0	0	0	0	0	12	27	84	67	0	166	0	23	482	22	0	0	0	0	0	0	230	0	23	1628	0	0	0	0	0	0	0	0	0	0	0	0	0	811	848	94	108	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	30	1	98	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	6	4	0	5	0	0	0	30	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	58	0	418	0	1789	234	796	1448	0	940	1177	71	149	96	125	338	1	0	0	0	0	0	30	153	221	1	0	0	0	0	0	13	11	47	643	25	4	0	2507	2571	5	0	0	0	0	1	0	0	0	0	266	4	0	0	0	1	0	1	0	0	803	436	1	0	1	0	0	0	0	0	0	0	0	0	0	44	0	1	0	0	0	0	0	0	1	29	5	588	458	17	0	0	0	1	2	1	0	1	0	0	0	1797	0	1	5	7	0	0	0	0	0	0	0	0	0	0	0	0
Prevotellaceae Prevotella timonensis	0	0	0	0	0	0	0	0	0	43	0	0	6	3	0	22	22	0	2	78	1	20	34	2	409	8	110	10	140	0	0	2	771	436	1270	1036	5	0	2	280	21	1	0	0	0	102	0	0	2	18	58	353	2	1	0	0	5	0	2	0	1	4	40	13	1	318	87	57	7	64	65	12	136	6	3	9	63	0	26	4	5	0	1	1	0	2	21	1	0	0	0	1	4	0	5	1	1	1	0	3	179	162	121	94	3	36	9	11	2	14	0	32	0	0	12	177	27	0	0	34	0	0	14	27	0	921	78	1009	0	1	0	0	0	276	430	120	329	132	0	20	1	1	43	16	1	0	12	0	3	2	35	3	0	59	1	1	0	1	0	86	0	1	0	16	119	1160	614	359	210	447	0	0	0	15	56	13	33	3	20	1	1	1	3	1	17	0	0	0	0	0	0	0	7	4	2	2	120	88	154	0	8	1	15	8	165	15	15	26	458	679	1135	1151	1098	80	0	1	0	0	2	1	0	194	0	0	3	0	0	1	0	35	4	58	625	2	122	319	65	144	98	47	0	0	0	0	0	0	36	4	21	7	0	159	58	0	1	0	0	0	0	39	0	0	0	211	0	30	11	239	0	15	121	0	0	1	0	68	0	3	0	0	0	6	3	1752	98	83	6	11	1	0	1	474	19	2	0	0	12	10	3	40	9	859	132	66	2	0	53	15	1	0	0	0	38	0	2	0
Prevotellaceae Prevotella sp_S7-1-8	0	0	0	0	0	0	0	0	0	79	0	0	9	15	42	991	835	20	303	28	2	0	0	0	0	108	47	8	383	0	0	0	0	0	0	0	0	0	0	154	6	0	0	0	0	127	0	0	0	0	7	15	0	0	0	0	0	0	0	2	0	0	0	0	0	11	0	59	30	167	28	0	225	0	0	0	22	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	7	0	0	0	0	0	0	0	23	180	71	150	194	58	23	2	0	0	1	2	0	0	0	0	17	0	0	0	114	78	0	18	0	0	0	0	606	0	0	2	0	0	0	0	0	0	0	0	0	0	432	0	0	0	0	0	0	0	0	13	19	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	48	39	28	0	0	0	417	1	0	0	1	1	0	0	0	0	0	2	0	0	9	5	63	0	28	3	146	35	82	44	0	0	0	7	6	47	0	381	0	0	0	0	0	0	0	435	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	557	5	0	0	0	0	50	170	0	0	32	249	0	537	0	0	0	0	0	0	95	45	64	0	0	0	0	17	0	360	0	0	0	0	0	0	0	0	0	0	0	0	1	21	178	1512	983	101	51	0	0	0	1	0	0	1	0	0	0	2	0	4	0	0	0	0	0	0	39	3	0	1	1	0	0	0	1	1
Aerococcaceae Aerococcus christensenii	272	0	0	0	0	0	0	0	3	4	69	26	0	22	3	8	30	2	4	2	250	212	4	0	18	371	138	2	59	0	1344	2	17	74	16	10	84	3	0	15	0	0	0	0	0	24	567	0	2	58	7	190	25	123	17	152	80	181	111	0	2	6	0	0	0	98	0	9	3	4	8	232	2	30	26	3	3	0	2	508	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	4	0	1	8	20	13	10	11	0	0	108	5	73	17	0	0	0	0	0	4	0	29	59	18	16	17	66	4	0	0	0	0	0	0	33	43	39	0	1	0	0	1	0	209	23	0	0	36	0	0	3	23	7	1	0	0	0	13	50	1	0	0	0	0	0	0	3	0	0	0	0	0	0	14	4	1	1	2	0	0	11	21	1	6	0	0	0	0	0	0	0	0	3	0	13	7	7	3	8	6	23	0	35	107	79	1	6	25	21	22	53	12	18	1	0	0	1	1	0	12	6	3	1	33	0	0	0	0	82	61	13	1	17	8	7	25	13	71	224	0	3	183	81	366	0	0	22	4	9	21	25	1137	0	1	0	0	0	1	2	172	0	11	2	2	380	35	3	0	667	0	0	0	21	335	10	30	7	0	0	494	3	48	50	7	39	79	0	5	0	1	0	0	4	0	0	1	0	1	22	2	2	0	0	0	0	1	5	0	0	2	0	0	0	1	5
Leptotrichiaceae Sneathia sanguinegens	183	0	0	0	0	0	0	0	0	0	4	9	84	4	17	13	85	12	33	60	28	3	0	0	64	31	89	164	43	0	0	0	0	0	0	0	0	0	0	7	19	0	0	0	0	76	0	0	0	0	0	0	56	126	9	121	0	0	1	0	0	0	0	0	0	7	0	7	1	4	35	0	29	15	0	3	3	0	0	1	0	0	0	0	3	0	10	0	0	0	0	0	0	0	896	10	0	0	0	0	15	21	62	26	1	119	27	2	0	0	0	0	39	6	23	0	0	0	0	0	9	34	3	44	0	47	6	294	70	0	0	0	0	19	20	6	22	66	0	1	0	0	0	0	150	0	0	0	0	0	0	17	0	10	1	0	0	0	0	12	0	0	0	0	0	144	10	29	3	85	0	0	0	0	32	149	140	233	106	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	11	0	6	4	2	2	0	33	0	2	0	0	17	536	72	89	0	0	1	0	0	0	0	0	0	0	205	0	0	11	0	0	0	0	16	2	19	76	0	32	104	13	25	66	2	0	0	0	0	0	0	0	1265	26	3	0	0	0	0	0	0	0	0	3	5	0	0	0	119	0	0	0	139	0	0	0	0	0	0	0	184	0	6	0	0	0	135	0	0	33	26	0	0	2	0	0	438	0	0	0	0	0	0	0	2	5	38	0	0	0	0	14	6	2	0	0	0	1	0	0	0
Prevotellaceae Prevotella ihumii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	1	0	0	2	10	19	96	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	17	0	0	0	1	0	0	0	1	4	0	0	11	9	33	1	1	3	0	22	0	0	0	18	0	18	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	2	30	0	3	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	17	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	13	0	1	2014	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	96	0	0	0	0	38	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	1	10	55	116	657	7	0	0	0	0	0	0	0	34	0	0	0	0	0	1	0	0	0	0	0	0	0	0	17	8	39	3101	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	1	0	0	15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	36	0	0	0	0	73	0	2	2	3	39	426	0	0	0	1	84	0	0	0	0	0	0	0	0
Prevotellaceae Prevotella buccalis	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	8	35	0	3	0	0	1	0	1	0	1	8	0	22	0	0	0	68	11	87	25	0	0	0	120	138	0	0	0	0	4	0	0	0	0	50	236	3	7	0	0	6	401	9	0	0	0	26	5	3	46	94	6	0	0	3	0	2	0	3	4	2	0	4	0	1	0	0	0	0	0	0	0	0	0	3	0	55	1	0	1	0	0	0	0	18	97	67	24	3	6	7	5	0	20	0	0	0	0	33	0	4	0	0	0	0	0	86	24	0	78	366	100	0	0	0	0	0	4	0	11	2	5	0	1	0	0	15	8	0	0	28	2	8	5	34	0	0	4	0	0	0	0	0	5	0	0	0	4	13	0	0	0	0	4	0	0	0	3	1	0	2	2	5	0	0	0	6	0	27	0	0	0	0	0	0	0	3	1	1	100	281	34	8	0	3	0	82	18	147	90	7	95	26	73	49	108	21	72	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	12	4	10	40	4	38	48	6	9	0	0	0	0	0	0	0	0	1279	26	7	1	0	24	0	0	0	0	0	0	1	6	0	0	0	0	1	0	0	12	0	1	0	0	0	0	0	20	1	0	0	0	0	0	0	0	1	3	3	173	0	0	1	109	1	1	0	0	4	3	4	4	7	1439	5	30	0	0	0	6	0	0	0	0	0	0	1	0
Peptostreptococcaceae Peptostreptococcus anaerobius	0	0	0	0	0	0	0	1	0	40	0	0	5	1	138	2	0	0	1	2	1	0	31	48	78	0	0	50	1	0	0	25	0	0	0	0	0	0	0	5	11	2	0	0	0	1	0	0	0	1	0	0	13	102	0	0	0	1	0	0	0	2	0	0	0	18	1	7	2	0	0	8	9	34	14	0	18	0	30	18	0	0	3	33	1	80	935	0	2	0	0	0	6	0	134	3	0	4	31	8	11	57	410	69	0	2	2	0	0	0	0	0	1	0	15	2	2	0	0	0	0	0	54	0	0	0	1	7	0	12	0	52	0	0	0	0	0	0	0	6	0	1	195	2	1	0	9	0	18	1	10	55	1	0	1	1	1	0	0	0	0	1	1	13	73	15	0	0	0	5	0	0	0	2	3	2	1	40	5	15	0	0	0	1	9	0	0	0	0	0	0	0	13	3	5	0	0	0	1	2	0	0	15	0	0	0	50	1	0	3	21	47	8	8	0	0	0	0	1	1	0	201	0	0	8	1	0	0	0	0	0	1	40	0	0	0	0	0	2	0	0	0	2	0	0	0	57	27	0	0	5	7	130	0	0	0	0	0	16	4	0	0	0	33	0	0	74	3	2	0	10	0	0	12	0	44	9	0	0	0	0	2	0	1	0	6	0	10	0	0	2	1	2	1	0	1	1	0	674	0	442	123	31	27	0	0	94	1631	0	0	0	0	2	1	1	0
Veillonellaceae Veillonella montpellierensis	0	0	0	0	0	0	0	1	0	51	0	0	0	0	0	2	0	0	0	0	95	5	21	281	31	0	0	0	0	0	0	0	0	0	0	0	39	0	0	8	0	0	0	0	0	154	0	0	2	70	0	1	0	211	0	78	0	0	0	5	1	3	9	0	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	11	1	2	0	0	2	1	0	0	0	7	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	15	0	11	0	1	31	0	0	0	114	0	0	0	0	1	0	0	5	2	1	4	11	1	0	2	0	2	0	29	0	0	0	0	0	0	0	0	0	0	1	1	319	257	0	0	0	0	0	0	0	0	1	77	2	0	1	18	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	2	0	0	2	1	14	0	0	0	0	4	0	2201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	17	0	0	0	0	0	1118	36	5	0	0	200	0	0	3	0	0	12	0	0	0	0	0	93	101	0	0	2	0	0	0	1	112	54	792	0	0	12	0	0	6	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	6	3	1	0	0	0	79	10	1	0
Veillonellaceae Megasphaera sp_KA00182	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	75	34	85	0	0	0	0	0	8	64	2	100	0	0	0	0	0	0	0	0	0	0	5	31	0	0	0	0	46	0	0	0	0	0	0	77	27	47	0	0	0	0	0	0	0	0	0	0	0	0	2	0	34	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	117	146	130	182	0	0	0	0	0	0	0	526	0	2	0	0	0	0	0	0	0	0	0	29	0	4	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	479	415	602	470	107	0	0	0	0	0	11	0	0	7	0	0	0	33	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	38	0	0	65	189	271	178	0	0	2	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	7	0	0	41	0	0	0	0	0	0	0	0	0	0	507	84	0	127	0	0	0	0	0	0	103	277	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	100	32	0	0	0	0	0	0	0	0	0	0	0	14	3	66	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
Streptococcaceae Streptococcus sp	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	8	0	7	0	0	0	0	21	0	0	0	0	0	12	0	0	0	0	0	0	52	0	1	45	0	0	0	0	0	3	0	0	0	0	0	228	0	32	0	0	0	0	0	0	13	0	2	0	0	0	0	18	0	0	0	0	6	0	134	0	0	25	226	1664	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	21	36	0	0	0	0	0	0	0	0	0	0	0	0	69	0	279	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	1	1	1	3	0	0	0	0	0	4	13	0	0	0	0	0	0	0	0	4	180	1	0	0	0	168	0	0	0	37	0	0	0	0	0	0	0	7	0	3	2	0	0	0	0	1059	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	142	0	1	0	0	0	5	0	15	1	0	0	0	0	0	35	0	0	0	0	0	0	0	473	0	0	0	0	0	0	84	0	0	0	0	108	53	0	0	0	0	6	3	0	0	0	0	0	0	5	0	0	2	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	21	0	1	0	0	1	0	0	0
Prevotellaceae Prevotella disiens	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	13	2	0	0	10	0	0	0	30	0	0	0	0	47	0	0	1	0	0	0	0	31	0	0	8	0	4	0	0	0	12	0	0	1	12	217	6	93	124	0	0	10	0	0	0	0	1	20	20	4	85	140	3	0	0	0	0	4	3	38	96	198	0	261	2	2	0	1	0	0	0	0	0	2	0	38	0	4	0	0	9	0	2	2	7	0	0	0	0	9	19	5	14	0	19	0	4	100	0	0	0	2	0	0	5	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	5	0	1	31	0	0	18	15	25	6	9	44	3	1	2	3	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	55	0	1	0	1	0	0	0	3	0	29	0	0	0	0	0	0	0	8	46	31	14	142	0	5	2	4	2	37	0	95	162	26	3	0	34	20	0	0	8	0	1	0	0	1	0	0	10	0	0	0	0	0	0	0	0	0	0	2	0	2	6	0	212	13	0	0	0	0	0	0	0	11	10	0	0	0	7	15	0	0	0	0	0	0	0	0	1	0	19	0	0	0	33	0	14	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	1567	0	0	1	125	2	1	0	0	14	24	87	0	108	5	2	322	0	0	0	2	0	0	1	0	12	1	7	1
Prevotellaceae Prevotella sp_DNF00663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	15	0	0	69	0	0	0	7	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	16	34	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	7	0	8	6	0	1	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0	0	0	0	0	0	0	0	1	22	0	60	20	955	0	0	1	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	2	0	161	0	1	0	0	0	1	0	17	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	6	13	0	7	42	20	8	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	10	1	3	7	0	463	2577	0	0	1	0	0	1	0	0	0	0	2	8	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	61	12	1	0	0	21	5	90	5	136	388	22	12	0	0	0	11	0	0	0	0	0	0	0	0
Bacillales_Incertae_Sedis_XI Gemella asaccharolytica	17	0	0	0	0	0	0	0	0	3	0	1	1	3	0	63	5	3	17	10	55	333	2	0	21	23	250	0	46	0	0	5	16	12	6	7	31	0	0	46	0	0	0	0	0	3	0	0	5	3	21	101	88	148	11	133	0	29	0	0	2	2	0	0	0	0	0	8	4	4	2	0	2	120	0	0	5	0	5	27	0	0	38	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	23	3	3	1	6	3	2	0	0	0	7	4	7	8	680	51	0	0	0	0	0	3	81	0	9	3	12	5	0	0	0	0	0	0	5	4	1	0	0	0	0	9	1	315	0	1	0	0	0	11	0	0	4	1	0	0	0	0	4	0	0	0	0	0	4	0	2	0	0	0	0	0	0	13	5	7	5	7	0	0	0	2	1	2	0	0	0	0	0	0	0	0	3	4	2	3	2	2	0	0	0	0	2	9	1	0	7	25	21	27	0	0	1	0	0	0	0	1	0	2	9	1	0	49	0	0	0	0	3	1	7	11	0	2	2	76	70	148	547	811	0	0	0	0	0	0	0	0	4	0	55	0	0	0	0	0	0	0	8	0	74	0	11	0	0	0	5	0	0	0	0	0	46	0	8	0	0	0	0	0	5	0	0	8	52	13	0	2	0	0	0	1	0	0	0	10	2	8	8	25	55	0	0	2	0	3	5	0	0	0	0	0	0	0	0
Streptococcaceae Streptococcus agalactiae	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	30	1	0	0	0	0	0	0	7	0	0	0	0	0	0	1639	0	0	43	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	52	0	0	0	0	0	0	4	0	3	0	0	0	0	5	0	0	0	0	3	0	0	0	0	51	967	39	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	2	0	0	0	0	0	646	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	17	2	0	0	0	9	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	358	15	0	0	0	0	0	30	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotellaceae Prevotella melaninogenica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	18	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	123	0	0	0	0	0	0	0	0	0	2	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	75	0	0	0	0	0	0	1	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	0	0	0	0	0	0	0	272	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	1	0	0
Veillonellaceae Dialister sp_DNF00626	0	0	0	0	0	0	0	0	0	7	12	14	20	15	4	32	14	11	113	60	6	60	6	0	36	42	57	75	65	0	0	1	24	22	15	37	0	0	0	37	17	0	0	0	0	6	0	0	1	7	60	113	25	36	12	20	0	4	0	0	0	0	12	3	0	6	4	62	27	13	19	0	23	2	0	0	3	0	2	6	0	0	0	3	2	1	5	0	0	0	0	0	0	0	3	5	0	0	0	0	23	23	18	25	4	17	4	2	0	2	0	5	0	7	0	0	3	0	0	0	8	6	9	178	1	123	25	74	9	0	0	0	0	4	0	14	15	26	0	13	2	0	134	3	7	0	0	0	0	0	3	3	2	33	0	0	0	0	0	4	0	0	0	5	16	28	37	19	16	10	0	0	0	0	1	23	55	93	22	0	0	0	2	0	2	0	0	0	0	0	0	0	0	2	2	0	3	14	5	0	7	0	3	3	36	3	0	12	15	39	28	179	144	15	0	0	0	1	0	0	0	202	6	0	0	0	0	0	0	67	7	90	68	5	11	9	20	45	0	13	0	0	0	0	0	0	11	5	9	8	0	25	13	0	0	0	0	0	35	76	4	0	0	22	0	0	394	13	0	2	0	0	0	0	0	2	0	0	0	0	0	10	6	10	27	7	11	0	0	0	0	16	11	1	0	0	1	3	10	104	24	142	10	56	1	0	13	3	0	0	0	0	6	3	1	0
